,model_filename,camera,res,steps,backend,visJoint,visSkin,visFlexSkin,visTexture,visFog,visShadow,visReflection,fps
0,../rodent.xml,side,256,8192,egl,True,True,True,True,True,True,True,517.4556758866695
1,../rodent.xml,side,256,8192,egl,False,True,True,True,True,True,True,560.8362420623562
2,../rodent.xml,side,256,8192,egl,False,True,False,True,False,True,True,569.6707655586171
3,../rodent.xml,side,256,8192,egl,False,False,False,True,False,True,True,832.5028440752459
4,../rodent.xml,side,256,8192,egl,False,False,False,True,True,True,True,838.1051753413042
5,../rodent.xml,side,256,8192,egl,False,False,False,True,False,False,True,1319.6549962341921
6,../rodent.xml,side,256,8192,egl,False,False,False,True,False,True,False,1057.0817205766555
7,../rodent.xml,side,256,8192,egl,False,False,False,True,False,False,False,1982.430110180912
8,../rodent.xml,side,256,8192,egl,False,False,False,False,True,True,True,835.0843268546888
9,../rodent.xml,side,256,8192,egl,False,True,False,True,False,False,False,893.5334178971893
10,../rodent.xml,side,256,8192,egl,False,True,False,False,False,False,False,854.0563940514967
11,../rodent.xml,side,256,8192,egl,False,True,True,True,False,False,False,915.3085499846453
12,../rodent.xml,side,256,8192,egl,False,True,True,False,False,False,False,861.4153715879883
13,../rodent.xml,side,256,8192,egl,False,True,True,False,True,False,False,871.941595709426
14,../rodent.xml,side,256,8192,egl,False,False,False,False,True,False,False,1833.8731203124396
15,../rodent.xml,side,256,8192,egl,True,False,False,False,False,False,False,1757.1615165401247
16,../rodent.xml,side,256,8192,egl,False,False,False,False,False,False,False,1838.7170820044096
17,../rodent.xml,egocentric,256,8192,egl,True,True,True,True,True,True,True,607.4758242847594
18,../rodent.xml,egocentric,256,8192,egl,False,True,True,True,True,True,True,672.1450629982343
19,../rodent.xml,egocentric,256,8192,egl,False,True,False,True,False,True,True,669.3605654246297
20,../rodent.xml,egocentric,256,8192,egl,False,False,False,True,False,True,True,1094.2085504132563
21,../rodent.xml,egocentric,256,8192,egl,False,False,False,True,True,True,True,1134.561668634609
22,../rodent.xml,egocentric,256,8192,egl,False,False,False,True,False,False,True,1876.0380596202447
23,../rodent.xml,egocentric,256,8192,egl,False,False,False,True,False,True,False,1263.8702026316435
24,../rodent.xml,egocentric,256,8192,egl,False,False,False,True,False,False,False,2546.8029276893694
25,../rodent.xml,egocentric,256,8192,egl,False,False,False,False,True,True,True,1142.6163449187288
26,../rodent.xml,egocentric,256,8192,egl,False,True,False,True,False,False,False,1002.588991845032
27,../rodent.xml,egocentric,256,8192,egl,False,True,False,False,False,False,False,1006.436803108238
28,../rodent.xml,egocentric,256,8192,egl,False,True,True,True,False,False,False,1025.9115512399396
29,../rodent.xml,egocentric,256,8192,egl,False,True,True,False,False,False,False,1074.5877932402284
30,../rodent.xml,egocentric,256,8192,egl,False,True,True,False,True,False,False,1010.5930240314733
31,../rodent.xml,egocentric,256,8192,egl,False,False,False,False,True,False,False,2539.6100787809896
32,../rodent.xml,egocentric,256,8192,egl,True,False,False,False,False,False,False,2341.7434118030083
33,../rodent.xml,egocentric,256,8192,egl,False,False,False,False,False,False,False,2580.6032219482126
34,../rodent.xml,egocentric,64,8192,egl,True,True,True,True,True,True,True,657.5300870721137
35,../rodent.xml,egocentric,64,8192,egl,False,True,True,True,True,True,True,698.6454261657717
36,../rodent.xml,egocentric,64,8192,egl,False,True,False,True,False,True,True,713.6330003027563
37,../rodent.xml,egocentric,64,8192,egl,False,False,False,True,False,True,True,1195.4713685558436
38,../rodent.xml,egocentric,64,8192,egl,False,False,False,True,True,True,True,1225.9545389332195
39,../rodent.xml,egocentric,64,8192,egl,False,False,False,True,False,False,True,2130.56985290151
40,../rodent.xml,egocentric,64,8192,egl,False,False,False,True,False,True,False,1407.3486262559022
41,../rodent.xml,egocentric,64,8192,egl,False,False,False,True,False,False,False,3178.4733173181216
42,../rodent.xml,egocentric,64,8192,egl,False,False,False,False,True,True,True,1234.51924497579
43,../rodent.xml,egocentric,64,8192,egl,False,True,False,True,False,False,False,1113.7860523880195
44,../rodent.xml,egocentric,64,8192,egl,False,True,False,False,False,False,False,1103.5108924998135
45,../rodent.xml,egocentric,64,8192,egl,False,True,True,True,False,False,False,1094.5932089212702
46,../rodent.xml,egocentric,64,8192,egl,False,True,True,False,False,False,False,997.1448637028119
47,../rodent.xml,egocentric,64,8192,egl,False,True,True,False,True,False,False,1092.7728733797355
48,../rodent.xml,egocentric,64,8192,egl,False,False,False,False,True,False,False,3167.931362685541
49,../rodent.xml,egocentric,64,8192,egl,True,False,False,False,False,False,False,2829.050083871764
50,../rodent.xml,egocentric,64,8192,egl,False,False,False,False,False,False,False,3208.88550224577
