,model_filename,camera,res,steps,backend,visJoint,visSkin,visFlexSkin,visTexture,visFog,visShadow,visReflection,fps
0,../rodent.xml,side,256,8192,egl,True,True,True,True,True,True,True,400.0175185723168
1,../rodent.xml,side,256,8192,egl,False,True,True,True,True,True,True,454.2195415486014
2,../rodent.xml,side,256,8192,egl,False,True,False,True,False,True,True,450.09459417735854
3,../rodent.xml,side,256,8192,egl,False,False,False,True,False,True,True,625.7590344238748
4,../rodent.xml,side,256,8192,egl,False,False,False,True,True,True,True,618.3346355711082
5,../rodent.xml,side,256,8192,egl,False,False,False,True,False,False,True,979.2224392525501
6,../rodent.xml,side,256,8192,egl,False,False,False,True,False,True,False,768.1754379399059
7,../rodent.xml,side,256,8192,egl,False,False,False,True,False,False,False,1325.2290499207866
8,../rodent.xml,side,256,8192,egl,False,False,False,False,True,True,True,620.3432085406095
9,../rodent.xml,side,256,8192,egl,False,True,False,True,False,False,False,714.5192109601594
10,../rodent.xml,side,256,8192,egl,False,True,False,False,False,False,False,720.8134035895396
11,../rodent.xml,side,256,8192,egl,False,True,True,True,False,False,False,722.5578770532755
12,../rodent.xml,side,256,8192,egl,False,True,True,False,False,False,False,723.1058222499756
13,../rodent.xml,side,256,8192,egl,False,True,True,False,True,False,False,709.6039757620897
14,../rodent.xml,side,256,8192,egl,False,False,False,False,True,False,False,1347.765505373746
15,../rodent.xml,side,256,8192,egl,True,False,False,False,False,False,False,1313.923108603608
16,../rodent.xml,side,256,8192,egl,False,False,False,False,False,False,False,1360.951499612823
17,../rodent.xml,egocentric,256,8192,egl,True,True,True,True,True,True,True,500.9343147502442
18,../rodent.xml,egocentric,256,8192,egl,False,True,True,True,True,True,True,540.9681626003977
19,../rodent.xml,egocentric,256,8192,egl,False,True,False,True,False,True,True,538.9006729643974
20,../rodent.xml,egocentric,256,8192,egl,False,False,False,True,False,True,True,847.356040806768
21,../rodent.xml,egocentric,256,8192,egl,False,False,False,True,True,True,True,848.0477702331831
22,../rodent.xml,egocentric,256,8192,egl,False,False,False,True,False,False,True,1496.8691787802104
23,../rodent.xml,egocentric,256,8192,egl,False,False,False,True,False,True,False,999.9717225866403
24,../rodent.xml,egocentric,256,8192,egl,False,False,False,True,False,False,False,2065.045731735535
25,../rodent.xml,egocentric,256,8192,egl,False,False,False,False,True,True,True,866.3536096081061
26,../rodent.xml,egocentric,256,8192,egl,False,True,False,True,False,False,False,899.3233448005785
27,../rodent.xml,egocentric,256,8192,egl,False,True,False,False,False,False,False,902.4688586250757
28,../rodent.xml,egocentric,256,8192,egl,False,True,True,True,False,False,False,920.0541895693444
29,../rodent.xml,egocentric,256,8192,egl,False,True,True,False,False,False,False,933.6965094756515
30,../rodent.xml,egocentric,256,8192,egl,False,True,True,False,True,False,False,933.1552747981249
31,../rodent.xml,egocentric,256,8192,egl,False,False,False,False,True,False,False,2060.3437279145483
32,../rodent.xml,egocentric,256,8192,egl,True,False,False,False,False,False,False,1847.2120550535747
33,../rodent.xml,egocentric,256,8192,egl,False,False,False,False,False,False,False,2092.4313859059303
34,../rodent.xml,egocentric,64,8192,egl,True,True,True,True,True,True,True,519.0369092282882
35,../rodent.xml,egocentric,64,8192,egl,False,True,True,True,True,True,True,567.6250031863069
36,../rodent.xml,egocentric,64,8192,egl,False,True,False,True,False,True,True,571.4301123344362
37,../rodent.xml,egocentric,64,8192,egl,False,False,False,True,False,True,True,916.5021840712094
38,../rodent.xml,egocentric,64,8192,egl,False,False,False,True,True,True,True,916.8330894519178
39,../rodent.xml,egocentric,64,8192,egl,False,False,False,True,False,False,True,1710.2247214567244
40,../rodent.xml,egocentric,64,8192,egl,False,False,False,True,False,True,False,1082.547740939438
41,../rodent.xml,egocentric,64,8192,egl,False,False,False,True,False,False,False,2479.6141737153266
42,../rodent.xml,egocentric,64,8192,egl,False,False,False,False,True,True,True,930.83525431542
43,../rodent.xml,egocentric,64,8192,egl,False,True,False,True,False,False,False,968.7125283366784
44,../rodent.xml,egocentric,64,8192,egl,False,True,False,False,False,False,False,1003.972452609422
45,../rodent.xml,egocentric,64,8192,egl,False,True,True,True,False,False,False,972.2681425032235
46,../rodent.xml,egocentric,64,8192,egl,False,True,True,False,False,False,False,1005.9421410230369
47,../rodent.xml,egocentric,64,8192,egl,False,True,True,False,True,False,False,999.2723045907547
48,../rodent.xml,egocentric,64,8192,egl,False,False,False,False,True,False,False,2474.96284235656
49,../rodent.xml,egocentric,64,8192,egl,True,False,False,False,False,False,False,2221.473574122817
50,../rodent.xml,egocentric,64,8192,egl,False,False,False,False,False,False,False,2504.2570046117744
